1988
----
Chou Kyuukai Miracle Nine			SMPS Z80/Type 2 DAC (mod, similar to Pro Striker 2)
Game no Kandzume Otokuyou			SMPS Z80/Type 2 FM (same as Zaxxon's Motherbase 2000)
Knuckles' Chaotix				[32x] SMPS Z80/Type 2 DAC (mod)
Light Crusader					SMPS 68k/Type 2b (Treasure mod)
Mega Games 6 Vol 1/2/3 menu			SMPS Z80/Type 1 FM (uses Columns sound driver/music) [missing on GDRI]
Metal Head					[32x] SMPS 68k/Type 2b (mod)
Mighty Morphin' Power Rangers: The Movie	SMPS 68k/Type 2a
Pro Striker Final Stage				SMPS Z80/Type 2 DAC (Tempo 32x mod)
Puzzle & Action: Ichidant-R			SMPS Z80/Type 2 FM (same as Puzzle & Action: Tant-R)
Ristar						SMPS 68k/Type 2b (mod)
Shadow Squadron (Stellar Assault)		[32x] SMPS 68k/Type 2a (mod)
Slam Dunk					SMPS Z80/Type 2 DAC
Surging Aura					SMPS Z80/Type 2 FM
Tempo						[32x] SMPS Z80/Type 2 DAC (Tempo 32x mod)
Top Shooter (Unl)				SMPS Z80 Type 1 FM [missing on GDRI] (uses Whip Rush sound driver)
Zaxxon's Motherbase 2000 (Parasquad)		[32x] SMPS Z80/Type 2 FM (Dyna Brothers 2 descendant)

1996
----
Classic Collection menu (Mega Games 4in1)	SMPS Z80/Type 1 FM (uses Columns sound driver/music) [missing on GDRI]
Sonic 3D Blast (Sonic 3D Flickies' Island)	SMPS Z80/Type 2 DAC (Sonic 3 mod)
Sonic The Hedgehog's Gameworld (U)		[Pico] SMPS 68k-Pico/Type 2b
Virtua Fighter 2				SMPS Z80/Type 2 DAC

1997
----
Mega Games 10 menu				SMPS Z80/Type 1 FM (uses Columns sound driver/music) [missing on GDRI]

2000
----
Mickey no Boku wa Meitantei			[Pico] SMPS 68k-Pico/Type 2b



Compiled from http://gdri.smspower.org/wiki/index.php/Mega_Drive/Genesis_Sound_Engine_List


Sega Game Toshokan games
------------------------
16t
Aworg - Hero in the Sky
Columns (has retail release)
Flicky (has retail release)
Hyper Marbles
Ikazuse! Koi no Doki Doki Penguin Land MD
Kiss Shot
Medal City
MegaMind
Paddle Fighter
Phantasy Star II - Amia's Adventure
Phantasy Star II - Anne's Adventure
Phantasy Star II - Huey's Adventure
Phantasy Star II - Kinds's Adventure
Phantasy Star II - Nei's Adventure (has an additional unused sound driver)
Phantasy Star II - Rudger's Adventure
Phantasy Star II - Shilka's Adventure
Phantasy Star II - Yushis's Adventure
Putter Golf
Pyramid Magic
Pyramid Magic II
Pyramid Magic III
Pyramid Magic Special
Riddle Wired
Robot Battler
Shi no Meikyuu: Labyrinth of Death
Sonic Eraser (comes with its own SegaNet sound driver)
Teddy Boy Blues
